,Average Travel Time By Bike,Average Travel Time By Metro
Roosevelt Island Coast,45:19,43:01
Steinway St / 31 Av,46:29,42:10
North Brooklyn (Gates / Throop Av),37:00,43:57
Brooklyn Navy Yard (Flushing / Navy St),22:30,25:20
South Bronx (161 St / Melrose Av),60:42,43:29
South Manhattan (Houston / Clinton St),14:14,22:11
South Manhattan (Ave A / St. Marks Pl),14:28,29:07
