,Average Travel Time By Bike,Average Travel Time By Metro
Roosevelt Island Coast,52:38,87:49
Steinway St / 31 Av,55:07,80:07
North Brooklyn (Gates / Throop Av),95:46,97:31
Brooklyn Navy Yard (Flushing / Navy St),87:00,84:15
South Bronx (161 St / Melrose Av),23:44,62:41
South Manhattan (Houston / Clinton St),69:36,72:53
South Manhattan (Ave A / St. Marks Pl),68:49,72:10
