,Average Travel Time By Bike,Average Travel Time By Metro
Roosevelt Island Coast,32:41,38:46
Steinway St / 31 Av,33:54,39:39
North Brooklyn (Gates / Throop Av),59:43,46:03
Brooklyn Navy Yard (Flushing / Navy St),48:09,37:34
South Bronx (161 St / Melrose Av),46:14,34:11
South Manhattan (Houston / Clinton St),31:25,33:22
South Manhattan (Ave A / St. Marks Pl),29:55,30:06
