,Average Travel Time By Bike,Average Travel Time By Metro
Roosevelt Island Coast,26:17,47:21
Steinway St / 31 Av,20:28,23:36
North Brooklyn (Gates / Throop Av),46:41,67:27
Brooklyn Navy Yard (Flushing / Navy St),52:42,50:16
South Bronx (161 St / Melrose Av),55:44,50:06
South Manhattan (Houston / Clinton St),50:44,49:47
South Manhattan (Ave A / St. Marks Pl),48:32,48:35
