,Average Travel Time By Bike,Average Travel Time By Metro
Roosevelt Island Coast,65:36,80:32
Steinway St / 31 Av,63:08,72:05
North Brooklyn (Gates / Throop Av),31:53,49:58
Brooklyn Navy Yard (Flushing / Navy St),26:12,38:10
South Bronx (161 St / Melrose Av),88:08,82:00
South Manhattan (Houston / Clinton St),36:12,47:54
South Manhattan (Ave A / St. Marks Pl),40:58,63:39
