,Average Travel Time By Bike,Average Travel Time By Metro
Roosevelt Island Coast,34:15,57:42
Steinway St / 31 Av,34:50,50:31
North Brooklyn (Gates / Throop Av),17:28,37:01
Brooklyn Navy Yard (Flushing / Navy St),24:05,36:05
South Bronx (161 St / Melrose Av),67:57,49:22
South Manhattan (Houston / Clinton St),21:28,31:49
South Manhattan (Ave A / St. Marks Pl),23:38,19:27
