,Average Travel Time By Bike,Average Travel Time By Subway,Average Travel Time By Subway (w. virtual stations)
Roosevelt Island Coast,36:13,42:28,50:59
Steinway St / 31 Av,32:15,33:60,37:05
North Brooklyn (Gates / Throop Av),59:52,52:55,51:58
Brooklyn Navy Yard (Flushing / Navy St),52:36,49:10,44:25
South Bronx (161 St / Melrose Av),47:39,46:58,42:16
South Manhattan (Houston / Clinton St),39:07,45:17,42:58
South Manhattan (Ave A / St. Marks Pl),30:28,36:13,36:56
