,Average Travel Time By Bike,Average Travel Time By Subway,Average Travel Time By Subway (w. virtual stations)
Roosevelt Island Coast,29:33,46:34,50:40
Steinway St / 31 Av,42:33,58:47,58:47
North Brooklyn (Gates / Throop Av),71:09,95:32,93:19
Brooklyn Navy Yard (Flushing / Navy St),62:49,84:52,81:38
South Bronx (161 St / Melrose Av),46:39,105:06,100:11
South Manhattan (Houston / Clinton St),52:60,70:17,69:28
South Manhattan (Ave A / St. Marks Pl),57:48,80:32,77:56
