,Average_Hops_to_All_Nodes
Great Kills,3.7
St George,3.7
Eltingville,3.95
New Dorp,4.1
Tompkinsville,4.25
Bay Terrace,4.3
Annadale,4.3
Oakwood Heights,4.5
Grant City,4.65
Huguenot,4.75
Stapleton,4.8
Jefferson Av,5.2
Prince's Bay,5.3
Clifton,5.35
Dongan Hills,5.75
Grasmere,5.9
Pleasant Plains,5.95
Old Town,6.3
Richmond Valley,6.7
Arthur Kill,7.55
Tottenville,8.5
