,Removed_Node,Nodes_Made_Unreachable
253,Avenue I,0
252,18 Av,0
251,Ditmas Av,0
250,Fort Hamilton Pkwy,0
249,15 St-Prospect Park,0
248,4 Av-9 St,0
247,Smith-9 Sts,0
246,Carroll St,0
245,York St,0
244,East Broadway,0
243,Delancey St-Essex St,0
275,75 St-Elderts Ln,0
274,85 St-Forest Pkwy,0
273,121 St,0
272,Classon Av,0
271,Bedford-Nostrand Avs,0
270,Myrtle-Willoughby Avs,0
269,Flushing Av,0
267,Metropolitan Av,0
266,Nassau Av,0
265,Greenpoint Av,0
264,21 St,0
263,Botanic Garden,0
262,Park Pl,0
261,Coney Island-Stillwell Av,0
260,W 8 St-NY Aquarium,0
259,Neptune Av,0
291,Canarsie-Rockaway Pkwy,0
290,Broad St,0
289,Bowery,0
288,Marcy Av,0
287,Hewes St,0
286,Lorimer St,0
285,Myrtle Av,0
284,Kosciuszko St,0
283,Gates Av,0
282,Halsey St,0
281,Chauncey St,0
280,Alabama Av,0
279,Cleveland St,0
278,Norwood Av,0
277,Crescent St,0
276,Cypress Hills,0
20,72 St,0
19,79 St,0
18,86 St,0
17,96 St,0
16,103 St,0
303,Bedford Av,0
302,Graham Av,0
301,Montrose Av,0
300,Morgan Av,0
299,Jefferson St,0
297,Wilson Av,0
296,Bushwick Av-Aberdeen St,0
295,Atlantic Av,0
294,Sutter Av,0
293,Livonia Av,0
341,Ocean Pkwy,0
308,Central Av,0
307,8 Av,0
306,6 Av,0
305,3 Av,0
304,1 Av,0
31,Houston St,0
30,Christopher St-Sheridan Sq,0
29,14 St,0
28,18 St,0
27,23 St,0
26,28 St,0
25,34 St-Penn Station,0
24,Times Sq-42 St,0
23,50 St,0
22,59 St-Columbus Circle,0
21,66 St-Lincoln Center,0
325,Court St,0
364,74-Broadway-Jackson Hts-Roosevelt Av,0
323,City Hall,0
322,Prince St,0
321,8 St-NYU,0
320,49 St,0
319,57 St-7 Av,0
318,39 Av-Dutch Kills,0
317,36 Av,0
363,Court Sq-23 St-Court Sq,0
362,Chambers St-WTC-Park Pl-Cortlandt,0
314,Astoria-Ditmars Blvd,0
313,Middle Village-Metropolitan Av,0
361,Chambers St-WTC-Park Pl,0
360,Chambers St-WTC,0
309,Knickerbocker Av,0
12,137 St-City College,0
340,Neck Rd,0
339,Avenue M,0
338,Avenue J,0
337,Avenue H,0
336,Cortelyou Rd,0
335,Beverley Rd,0
334,Parkside Av,0
333,62 St,0
332,9 Av,0
331,20 Av,0
330,New Utrecht Av,0
329,53 St,0
328,45 St,0
327,25 St,0
342,Norwood-205 St,0
365,Lorimer St-Metropolitan Av,0
372,Times Sq-42 St-42 St,0
371,WTC Cortlandt,0
370,Lexington Av-59 St,0
369,Lexington Av-63 St,0
368,New Utrecht Av-62 St,0
351,Lexington Av-53 St,0
350,74-Broadway,0
349,South Ferry Loop,0
348,Bay Ridge-95 St,0
347,Bay Ridge Av,0
346,Bay 50 St,0
345,25 Av,0
344,71 St,0
343,55 St,0
14,116 St-Columbia University,0
