,PD_within_5_hops
Classon Av,0.2949061662198391
Avenue I,0.29222520107238603
20 Av,0.29222520107238603
Morgan Av,0.2868632707774799
Marcy Av,0.2868632707774799
161 St-Yankee Stadium,0.2868632707774799
Chauncey St,0.28150134048257375
39 Av-Dutch Kills,0.28150134048257375
155 St,0.27882037533512066
Tremont Av,0.2734584450402145
Avenue H,0.2734584450402145
Cortelyou Rd,0.2734584450402145
168 St,0.2707774798927614
157 St,0.2707774798927614
Sutter Av-Rutland Rd,0.2680965147453083
Kosciuszko St,0.2680965147453083
Gates Av,0.2680965147453083
South Ferry,0.2680965147453083
Harlem-148 St,0.26273458445040215
Hunts Point Av,0.26005361930294907
Bedford Av,0.257372654155496
Elmhurst Av,0.257372654155496
Brook Av,0.2546916890080429
Junction Blvd,0.2520107238605898
33 St-Rawson St,0.24932975871313673
25 Av,0.24932975871313673
Forest Hills-71 Av,0.24396782841823056
61 St-Woodside,0.2386058981233244
110 St,0.2386058981233244
74-Broadway,0.2386058981233244
Cathedral Pkwy,0.2386058981233244
69 St,0.23324396782841822
65 St,0.23324396782841822
82 St-Jackson Hts,0.23324396782841822
Newkirk Av-Little Haiti,0.23324396782841822
Intervale Av,0.23324396782841822
Myrtle Av,0.23056300268096513
Wilson Av,0.22788203753351208
Ralph Av,0.22788203753351208
Sheepshead Bay,0.21983914209115282
Avenue M,0.21983914209115282
Avenue P,0.21983914209115282
Central Av,0.21447721179624665
Greenpoint Av,0.21179624664879357
Hewes St,0.2037533512064343
Flushing Av,0.2037533512064343
South Ferry Loop,0.20107238605898123
Avenue N,0.19839142091152814
Bedford-Nostrand Avs,0.19571045576407506
Nassau Av,0.19571045576407506
Broadway,0.19302949061662197
Alabama Av,0.1903485254691689
Northern Blvd,0.1876675603217158
Euclid Av,0.18498659517426275
103 St-Corona Plaza,0.18230563002680966
Mets-Willets Point,0.18230563002680966
36 Av,0.18230563002680966
Grand Av-Newtown,0.18230563002680966
Liberty Av,0.17962466487935658
67 Av,0.17962466487935658
E 180 St,0.17962466487935658
Atlantic Av,0.1742627345844504
Rockaway Av,0.1742627345844504
Metropolitan Av,0.1742627345844504
Bushwick Av-Aberdeen St,0.17158176943699732
Myrtle-Willoughby Avs,0.16621983914209115
Woodhaven Blvd,0.16353887399463807
Ocean Pkwy,0.16085790884718498
Avenue J,0.16085790884718498
Neptune Av,0.16085790884718498
Kew Gardens-Union Tpke,0.16085790884718498
167 St,0.1581769436997319
111 St,0.1581769436997319
Saratoga Av,0.1581769436997319
75 Av,0.1581769436997319
Forest Av,0.1554959785522788
75 St-Elderts Ln,0.1554959785522788
