Node_1,Node_2,Edge_Betweenness_Centrality
86 St,59 St,0.15748830867934446
125 St,59 St-Columbus Circle,0.14806202193837578
125 St,86 St,0.14652754714463653
145 St,125 St,0.1436150087624618
59 St-Columbus Circle,7 Av,0.12266701680240347
Atlantic Av-Barclays Ctr,36 St,0.10528978603933847
125 St,3 Av-138 St,0.09186965061432811
Queens Plaza,74-Broadway-Jackson Hts-Roosevelt Av,0.08861869933280137
36 St,Queens Plaza,0.0851017828158267
59 St,36 St,0.08286153363311252
E 180 St,3 Av-149 St,0.0793652709715056
36 St,21 St-Queensbridge,0.0788853404253744
Atlantic Av-Barclays Ctr,7 Av,0.07812113777580453
DeKalb Av,Myrtle-Wyckoff Avs,0.07759403174074798
125 St,149 St-Grand Concourse,0.07297960506840567
Hunts Point Av,3 Av-138 St,0.07201330446875313
Nostrand Av,Utica Av,0.06928599685059728
Rockaway Blvd,Aqueduct-N Conduit Av,0.0670958122464194
59 St,14 St-8 Av,0.06653951119810982
Junction Blvd,74-Broadway-Jackson Hts-Roosevelt Av,0.06423113490487622
Rockaway Blvd,104 St,0.06324084690625988
Aqueduct-N Conduit Av,Howard Beach-JFK Airport,0.06227867700821493
145 St,Tremont Av,0.061133702810883074
Utica Av,Broadway Junction,0.059451885478285824
Jay St-MetroTech,7 Av,0.057879626724728336
Howard Beach-JFK Airport,Broad Channel,0.05724649108973348
21 St-Queensbridge,74-Broadway-Jackson Hts-Roosevelt Av,0.055268727680116744
3 Av-149 St,149 St-Grand Concourse,0.0543616436259685
Halsey St,Myrtle-Wyckoff Avs,0.0527191015149391
145 St,168 St,0.052589858756078287
Gun Hill Rd,E 180 St,0.05101718971770966
59 St,Lexington Av-59 St,0.050783615566272026
Grand Av-Newtown,Elmhurst Av,0.05078157293475519
Atlantic Av-Barclays Ctr,Grand St,0.049738639545221425
Woodhaven Blvd,Grand Av-Newtown,0.047232758819784317
Atlantic Av-Barclays Ctr,Franklin Av-Medgar Evers College,0.04674877868893908
Atlantic Av-Barclays Ctr,DeKalb Av,0.044709369671402155
Parkchester,Hunts Point Av,0.044393628765178994
Broadway Junction,Halsey St,0.042657162818440286
Fordham Rd,Tremont Av,0.041214138592312384
Prospect Av,Jackson Av,0.03897721092959221
Queens Plaza,Lexington Av-59 St,0.03876864729098056
Jackson Hts-Roosevelt Av,Queens Plaza,0.03862356067735821
Grand St,Graham Av,0.03818083619369716
181 St,168 St-Washington Hts,0.03808081604564793
Broadway Junction,Euclid Av,0.03726729523139123
Kew Gardens-Union Tpke,Forest Hills-71 Av,0.03668452954964216
Jackson Av,3 Av-149 St,0.0366151181519498
36 St,25 St,0.03515118984372138
86 St,Avenue U,0.03431939557674917
Canal St,Atlantic Av-Barclays Ctr,0.03363977244152521
Mets-Willets Point,Junction Blvd,0.03348064522482327
111 St,104 St,0.03327224240119918
Church Av,7 Av,0.03309034859247448
104 St,Woodhaven Blvd,0.032813430346099015
207 St,Dyckman St,0.03165546013677223
Broad Channel,Beach 67 St,0.03165546013677223
Castle Hill Av,Parkchester,0.03165546013677223
Kingsbridge Rd,Fordham Rd,0.03165546013677223
Prospect Av,25 St,0.03162210577529014
Broadway Junction,Alabama Av,0.03018683263894259
Euclid Av,Grant Av,0.02987168257428071
Prospect Park,Franklin Av-Botanic Garden,0.029274287302245464
103 St-Corona Plaza,Junction Blvd,0.028999988273234047
Nostrand Av,Franklin Av-Botanic Garden,0.028867424802044656
36 St,9 Av,0.028556384966663566
Elmhurst Av,74-Broadway-Jackson Hts-Roosevelt Av,0.02777226039359484
Forest Hills-71 Av,74-Broadway-Jackson Hts-Roosevelt Av,0.027519713814184336
7 Av,4 Av-9 St,0.02709887549146435
Prospect Av,4 Av-9 St,0.027081308571841305
Elmhurst Av,Jackson Hts-Roosevelt Av,0.026951908346238406
Beach 67 St,Beach 60 St,0.026451233674069187
215 St,207 St,0.026451233674069187
Zerega Av,Castle Hill Av,0.026451233674069187
219 St,Gun Hill Rd,0.026451233674069187
157 St,145 St,0.026444235993202787
Forest Hills-71 Av,Jackson Hts-Roosevelt Av,0.026223606777657817
Mets-Willets Point,111 St,0.026195857736167776
Jay St-MetroTech,DeKalb Av,0.026115515681154916
181 St,190 St,0.02609998422961678
191 St,181 St,0.02609998422961678
Grant Av,80 St,0.026073887560589166
149 St-Grand Concourse,161 St-Yankee Stadium,0.025689612915602515
111 St,103 St-Corona Plaza,0.025357594528906274
Church Av,Newkirk Plaza,0.025128958237778623
86 St,Coney Island-Stillwell Av,0.024332226689524214
Queensboro Plaza,Lexington Av-59 St,0.024227164854594502
175 St,168 St,0.02419786096256669
Jackson Hts-Roosevelt Av,21 St-Queensbridge,0.02385360337736796
Franklin Av-Medgar Evers College,Nostrand Av,0.02287866656175646
88 St,Rockaway Blvd,0.022847687071570588
80 St,88 St,0.022747597071390627
59 St-Columbus Circle,Times Sq-42 St-42 St,0.022363098632068285
168 St-Washington Hts,168 St,0.02164838394534011
168 St-Washington Hts,157 St,0.02148373363481375
Graham Av,Lorimer St-Metropolitan Av,0.0214629043990682
225 St,219 St,0.021218333787329215
Beach 60 St,Beach 44 St,0.021218333787329215
Marble Hill-225 St,215 St,0.021218333787329215
Westchester Sq-E Tremont Av,Zerega Av,0.021218333787329215
Myrtle-Wyckoff Avs,Seneca Av,0.021218333787329215
Broad Channel,Beach 90 St,0.021218333787329215
Church Av,Prospect Park,0.021105785810488747
Dyckman St,191 St,0.020996114751042995
Dyckman St,190 St,0.020996114751042995
167 St,161 St-Yankee Stadium,0.020986983630888377
Grand Central-42 St,14 St-Union Sq,0.020406045315540217
7 Av,Prospect Park,0.02034443503402449
Woodhaven Blvd,75 St-Elderts Ln,0.019669201244475017
181 St,175 St,0.01918956956411608
Canal St,DeKalb Av,0.019096622644684834
Nevins St,Atlantic Av-Barclays Ctr,0.01877973533582736
Kew Gardens-Union Tpke,Parsons Blvd,0.018169552328202384
Kings Hwy,Avenue U,0.0179632571551487
Intervale Av,Prospect Av,0.017737279529562496
Fort Hamilton Pkwy,14 St-8 Av,0.01741392729755257
Queensboro Plaza,39 Av-Dutch Kills,0.017366369967259584
Nostrand Av,Hoyt-Schermerhorn Sts,0.017235301933412606
Queens Plaza,Court Sq-23 St-Court Sq,0.016992090672189392
Jay St-MetroTech,Hoyt-Schermerhorn Sts,0.016864171054984035
59 St,Grand Central-42 St,0.016812777315646565
Van Siclen Av,New Lots Av,0.01664010030485064
14 St-8 Av,Chambers St-WTC-Park Pl-Cortlandt,0.016321994809783292
Seneca Av,Forest Av,0.01595676047655231
Middletown Rd,Westchester Sq-E Tremont Av,0.01595676047655231
Bedford Park Blvd-Lehman College,Kingsbridge Rd,0.01595676047655231
Church Av,Beverly Rd,0.01595676047655231
Broadway,30 Av,0.01595676047655231
233 St,225 St,0.01595676047655231
231 St,Marble Hill-225 St,0.01595676047655231
Beach 44 St,Beach 36 St,0.015956760476552305
Beach 98 St,Beach 90 St,0.015956760476552305
75 St-Elderts Ln,Crescent St,0.015897604405086835
Brook Av,3 Av-138 St,0.01571303637223839
14 St-8 Av,Chambers St-WTC-Park Pl,0.01567896329036919
Broadway Junction,Liberty Av,0.015556221784154117
Cleveland St,Alabama Av,0.015521959563310468
Franklin Av-Medgar Evers College,Crown Hts-Utica Av,0.015453276103343124
Atlantic Av-Barclays Ctr,Prospect Park,0.014343388387981269
Newkirk Plaza,Kings Hwy,0.014260687919032905
Crescent St,Cleveland St,0.014236794120904478
61 St-Woodside,74-Broadway-Jackson Hts-Roosevelt Av,0.013696361501701202
36 Av,39 Av-Dutch Kills,0.013676525668678483
Jay St-MetroTech,Court St-Borough Hall,0.01344301715377511
W 8 St-NY Aquarium,Coney Island-Stillwell Av,0.013442688635142619
125 St,116 St,0.013408457370033473
Whitlock Av,Hunts Point Av,0.01316826998896073
Atlantic Av-Barclays Ctr,Bergen St,0.013133158539760034
14 St-Union Sq,3 Av,0.013002291332454041
Church Av,Fort Hamilton Pkwy,0.012969520760098115
59 St,Lexington Av-53 St-51 St,0.01296783588258669
Lexington Av-53 St-51 St,Court Sq-23 St-Court Sq,0.012786489724125154
Flushing Av,Myrtle Av,0.012744376776543125
Canal St,14 St-Union Sq,0.012723278131630102
Simpson St,Intervale Av,0.012504379642822527
21 St,Court Sq-23 St-Court Sq,0.012467250991546984
Steinway St,36 St,0.012323384068950442
Nostrand Av,Franklin Av,0.012306570791532788
Lorimer St,Graham Av,0.012261603808889214
Clinton-Washington Avs,Classon Av,0.01198890431078995
Broadway Junction,Atlantic Av,0.011872477005081875
86 St,79 St,0.01186757367924046
Rockaway Av,Broadway Junction,0.011693419942926891
Broadway,36 Av,0.011606361937504793
Van Siclen Av,Liberty Av,0.011450977020118734
Broadway,Lorimer St-Metropolitan Av,0.01134623778122004
Atlantic Av-Barclays Ctr,Union St,0.011331187312419217
Jamaica-Van Wyck,Kew Gardens-Union Tpke,0.011050260893768088
W 4 St-Wash Sq,14 St-8 Av,0.010993146450989554
Bay Pkwy,New Utrecht Av-62 St,0.01098359209745009
Van Siclen Av,Alabama Av,0.010951664662849527
Clinton-Washington Avs,Franklin Av-Botanic Garden,0.010893651262330849
Hunts Point Av,Longwood Av,0.01076687072586773
Astoria Blvd,30 Av,0.01066651374173847
Nereid Av,233 St,0.01066651374173847
Kingsbridge Rd,Bedford Park Blvd,0.01066651374173847
New Lots Av,East 105 St,0.01066651374173847
Buhre Av,Middletown Rd,0.01066651374173847
Beverly Rd,Newkirk Av-Little Haiti,0.01066651374173847
Mosholu Pkwy,Bedford Park Blvd-Lehman College,0.01066651374173847
Forest Av,Fresh Pond Rd,0.01066651374173847
238 St,231 St,0.01066651374173847
Gun Hill Rd,Baychester Av,0.01066651374173847
Beach 105 St,Beach 98 St,0.010666513741738468
Beach 36 St,Beach 25 St,0.010666513741738468
Burnside Av,167 St,0.01063406839703954
9 Av,New Utrecht Av-62 St,0.010570956547217665
Delancey St-Essex St,Marcy Av,0.01046665321979422
Cypress Av,Brook Av,0.010451463061461485
Tremont Av,174-175 Sts,0.010435829218355635
Forest Hills-71 Av,67 Av,0.010380280753452611
Gates Av,Myrtle Av,0.010144414354551263
Crown Hts-Utica Av,Sutter Av-Rutland Rd,0.01001211448685153
34 St-Herald Sq,Times Sq-42 St-42 St,0.009901452356900986
9 Av,62 St,0.009861254871981346
33 St-Rawson St,Queensboro Plaza,0.009800918070441856
Rockaway Av,Junius St,0.009781684799192916
Halsey St,Kosciuszko St,0.009695408917250311
Myrtle-Wyckoff Avs,Knickerbocker Av,0.009644716765821034
96 St,86 St,0.009447073203524095
50 St,7 Av,0.009335063886830827
Fort Hamilton Pkwy,New Utrecht Av-62 St,0.009333346398574208
7 Av,5 Av-53 St,0.009308308601603876
Halsey St,Gates Av,0.009207073197878479
Jay St-MetroTech,York St,0.0091785530176371
72 St,Lexington Av-63 St,0.009155126008236682
46 St,Steinway St,0.009032466818735105
14 St-8 Av,Chambers St-WTC,0.009021814641953986
111 St,Sutphin Blvd-Archer Av-JFK Airport,0.009015241950476281
72 St,59 St-Columbus Circle,0.008990268320605035
Utica Av,Ralph Av,0.008845957912508811
DeKalb Av,Jefferson St,0.00881024716109655
21 St,Greenpoint Av,0.008810082256036548
Sutphin Blvd-Archer Av-JFK Airport,Jamaica-Van Wyck,0.008769635802245272
E 180 St,West Farms Sq-E Tremont Av,0.008713954144506686
Jay St-MetroTech,Court St,0.00855113441547877
59 St,8 Av,0.008516538784726132
Canal St,Bowery,0.008456409693421148
Bronx Park East,E 180 St,0.008263919752643949
E 180 St,Morris Park,0.008263919752643921
Newkirk Plaza,Avenue H,0.008261307653038832
1 Av,3 Av,0.008237724038317282
4 Av-9 St,Union St,0.008200270734707334
Chambers St,14 St-8 Av,0.00819483494938367
Avenue U,Avenue X,0.008151886147418509
Kings Hwy,Sheepshead Bay,0.008081041801519806
Parkchester,St Lawrence Av,0.008064400510386947
14 St-8 Av,Brooklyn Bridge-City Hall-Chambers St,0.008030037086026903
Winthrop St,Church Av,0.008023093067751924
Broadway-Lafayette St,Grand St,0.00795893953637262
W 4 St-Wash Sq,34 St-Herald Sq,0.007942103427788437
79 St,18 Av,0.007934629029914247
Franklin Av-Medgar Evers College,President St-Medgar Evers College,0.007933667408800383
Church Av,Ditmas Av,0.007894338288239747
Elder Av,Whitlock Av,0.00789235996616536
Grand St,DeKalb Av,0.007822626760362952
145 St,155 St,0.007751774850812859
Grand St,Broadway-Lafayette St-Bleecker St,0.007745460954442804
Kings Hwy,Avenue M,0.007695452823513475
Franklin Av,Chambers St-WTC-Park Pl-Cortlandt,0.007683810905253341
125 St,116 St-Columbia University,0.007678915009792258
Freeman St,Simpson St,0.007644234268562658
Chambers St-WTC-Park Pl-Cortlandt,Franklin Av-Botanic Garden,0.007634429278592333
Grand Central-42 St,Times Sq-42 St-42 St,0.007597207661162219
Queens Plaza,Court Sq-23 St,0.0075621583470669215
W 4 St-Wash Sq,Broadway-Lafayette St,0.0075227672614475915
Franklin Av,Chambers St-WTC-Park Pl,0.007509035514383652
Church Av,Beverley Rd,0.007452439504345412
Bedford-Nostrand Avs,Classon Av,0.0073908026439780975
Chambers St-WTC-Park Pl,Franklin Av-Botanic Garden,0.0073902374539982765
Avenue U,Neck Rd,0.007308321519554399
82 St-Jackson Hts,74-Broadway-Jackson Hts-Roosevelt Av,0.0072972726339703186
47-50 Sts-Rockefeller Ctr,7 Av,0.0072306236204907025
Fort Hamilton Pkwy,9 Av,0.007199548930839338
Kings Hwy,Bay Pkwy,0.0071690917622766115
Grand St,Montrose Av,0.00714651331545576
Roosevelt Island,Lexington Av-63 St,0.007084249805501019
Broadway,Flushing Av,0.007038592734406848
Fulton St,Wall St,0.007010754720391332
103 St,96 St,0.006983182659707117
Briarwood,Kew Gardens-Union Tpke,0.0068502402992231095
Coney Island-Stillwell Av,Bay 50 St,0.006817781507391692
W 4 St-Wash Sq,Broadway-Lafayette St-Bleecker St,0.0067406885703733274
Lexington Av-63 St,Lexington Av-59 St,0.0066918515126384
Sutter Av,Atlantic Av,0.006689755610406558
Gun Hill Rd,Burke Av,0.006667765814588081
21 St-Queensbridge,Roosevelt Island,0.006659510747624083
Myrtle Av,Marcy Av,0.006581415919623793
Grand Central-42 St,Vernon Blvd-Jackson Av,0.0065596387192493315
Fulton St,Hoyt-Schermerhorn Sts,0.006551637374616525
111 St,Woodhaven Blvd,0.00654976695626286
67 Av,63 Dr-Rego Park,0.006534405303113762
Grand Central-42 St,Lexington Av-53 St-51 St,0.0064871568725720545
61 St-Woodside,46 St-Bliss St,0.006357273209969892
96 St,72 St,0.0063491355361561565
59 St-Columbus Circle,50 St,0.0063451257307967565
Sutter Av-Rutland Rd,Saratoga Av,0.0062888931323417585
Court Sq-23 St,Lexington Av-53 St-51 St,0.006234763736892376
14 St-Union Sq,34 St-Herald Sq,0.006065059774929986
Woodhaven Blvd,85 St-Forest Pkwy,0.006045108740805103
50 St,Fort Hamilton Pkwy,0.00604291121633383
Bay Pkwy,62 St,0.0060416087063837895
Queensboro Plaza,Court Sq-23 St-Court Sq,0.006005794867273397
Van Siclen Av,Norwood Av,0.006000576018637378
Flushing Av,Lorimer St-Metropolitan Av,0.005999924787423015
Halsey St,Wilson Av,0.005966759851846107
Canal St,Prince St,0.005940517779461148
Greenpoint Av,Nassau Av,0.005904069002501404
Bergen St,Carroll St,0.005848256063549617
W 8 St-NY Aquarium,Ocean Pkwy,0.005828970466255034
86 St,72 St,0.005827819546607184
Broadway Junction,Chauncey St,0.005822390695750574
50 St,55 St,0.005769623926650152
14 St-Union Sq,Astor Pl,0.005765734704467268
Kings Hwy,Avenue P,0.0056904645516153915
Nassau Av,Lorimer St-Metropolitan Av,0.005673713098391717
Kosciuszko St,Myrtle Av,0.005656734555678567
40 St-Lowery St,33 St-Rawson St,0.005649461403609081
Flushing Av,Myrtle-Willoughby Avs,0.005624339912832999
59 St,68 St-Hunter College,0.005619653194791096
59 St,Bay Ridge Av,0.005619653194791047
59 St-Columbus Circle,47-50 Sts-Rockefeller Ctr,0.00561373524885658
Eastern Pkwy-Brooklyn Museum,Franklin Av-Medgar Evers College,0.005611452072360559
Grand Central-42 St,33 St,0.005583644604405469
Fordham Rd,183 St,0.005537230734360524
170 St,167 St,0.005521443283625905
Shepherd Av,Euclid Av,0.005517381215220674
Longwood Av,E 149 St,0.005505297415090823
170 St,174-175 Sts,0.0054729374079634276
Mt Eden Av,170 St,0.005362442320335397
Borough Hall,Nevins St,0.005359204384009441
Rector St,Chambers St-WTC-Park Pl-Cortlandt,0.005354100576969929
Fulton St,Broad St,0.0053475935828877
Fresh Pond Rd,Middle Village-Metropolitan Av,0.0053475935828877
145 St,Harlem-148 St,0.0053475935828877
Bedford Park Blvd,Norwood-205 St,0.0053475935828877
Van Cortlandt Park-242 St,238 St,0.0053475935828877
Wakefield-241 St,Nereid Av,0.0053475935828877
Rector St,South Ferry,0.0053475935828877
South Ferry-Whitehall St,South Ferry Loop,0.0053475935828877
Astoria-Ditmars Blvd,Astoria Blvd,0.0053475935828877
Woodlawn,Mosholu Pkwy,0.0053475935828877
Newkirk Av-Little Haiti,Flatbush Av-Brooklyn College,0.0053475935828877
Pelham Bay Park,Buhre Av,0.0053475935828877
Canarsie-Rockaway Pkwy,East 105 St,0.0053475935828877
Eastchester-Dyre Av,Baychester Av,0.0053475935828877
Dyckman St,Inwood-207 St,0.0053475935828877
Flushing-Main St,Mets-Willets Point,0.005347593582887699
111 St,Ozone Park-Lefferts Blvd,0.005347593582887699
Beach 25 St,Far Rockaway-Mott Av,0.005347593582887699
Rockaway Park-Beach 116 St,Beach 105 St,0.005347593582887699
Jamaica Center-Parsons-Archer,Sutphin Blvd-Archer Av-JFK Airport,0.005347593582887699
59 St,Lexington Av-63 St,0.005336032195004669
Jamaica-179 St,Parsons Blvd,0.005333256870869235
Parsons Blvd,169 St,0.005333256870869235
86 St,Bay Ridge-95 St,0.005304583446832304
Burnside Av,176 St,0.0053040714214030735
Rector St,Chambers St-WTC-Park Pl,0.0052937100221778595
59 St,53 St,0.005226790720589252
Lexington Av-53 St,5 Av-53 St,0.005216282389698303
182-183 Sts,Tremont Av,0.005197058106693811
E 143 St-St Mary's St,Cypress Av,0.0051898897506845775
High St,Jay St-MetroTech,0.005169136799624465
Rockaway Blvd,Aqueduct Racetrack,0.005161216326647645
61 St-Woodside,52 St,0.005135649190214716
Prospect Park,Botanic Garden,0.005092674211054275
5 Av-59 St,Lexington Av-59 St,0.005083835929653663
59 St,51 St,0.005066005745891676
Bergen St,Grand Army Plaza,0.005055061669377911
Ditmas Av,18 Av,0.005053208848419338
Smith-9 Sts,4 Av-9 St,0.0050324891177790715
South Ferry-Whitehall St,Court St-Borough Hall,0.005028796293831267
Central Av,Knickerbocker Av,0.005004400975844296
69 St,74-Broadway-Jackson Hts-Roosevelt Av,0.004996105193234986
Chauncey St,Gates Av,0.004994175353467916
75 Av,Forest Hills-71 Av,0.004991906584715291
Bay Pkwy,Avenue N,0.0049760491901230785
Christopher St-Sheridan Sq,14 St-8 Av,0.0049712066821407976
Canal St,Spring St,0.004962958399973511
Fort Hamilton Pkwy,New Utrecht Av,0.004943463933322602
125 St,138 St-Grand Concourse,0.004898376606309109
Sheepshead Bay,Brighton Beach,0.004875774507532671
Delancey St-Essex St,Broadway-Lafayette St-Bleecker St,0.00486815708865897
137 St-City College,125 St,0.00484700338824294
Jackson Hts-Roosevelt Av,74-Broadway,0.004841712458807552
Rockaway Av,Ralph Av,0.004826679078531983
174 St,Freeman St,0.004817512548921837
36 St,45 St,0.004807951911535499
Nevins St,Court St-Borough Hall,0.004766491982801382
Flushing Av,Lorimer St,0.00474336340496914
14 St-Union Sq,8 St-NYU,0.004725995962277323
Rector St,South Ferry-Whitehall St,0.004711239604046842
Broadway Junction,Bushwick Av-Aberdeen St,0.00469975388989236
86 St,77 St,0.004688780662933285
Fulton St,Clinton-Washington Avs,0.004684528917482367
145 St,135 St,0.004658236679999809
149 St-Grand Concourse,135 St,0.004622394899953645
59 St-Columbus Circle,42 St-Port Authority Bus Terminal,0.004590857808162058
111 St,121 St,0.004548267094915949
Northern Blvd,46 St,0.0045445980665547465
Broadway-Lafayette St,Delancey St-Essex St,0.004522767490785536
Hoyt-Schermerhorn Sts,Lafayette Av,0.004502518333240317
Nostrand Av,Kingston Av,0.004502022837115232
125 St,135 St,0.004480222505770527
East Broadway,York St,0.0044766523376484025
72 St,Times Sq-42 St,0.004465326606410002
Bedford Av,1 Av,0.004459932151394333
Houston St,Canal St,0.004439960166428665
34 St-Penn Station,14 St-8 Av,0.004427986340064894
Crescent St,Norwood Av,0.004411134705590034
34 St-Penn Station,Times Sq-42 St-42 St,0.004400039376162798
7 Av,15 St-Prospect Park,0.004363457490738338
5 Av-53 St,Lexington Av-53 St-51 St,0.004344830675323382
Nostrand Av,Kingston-Throop Avs,0.004336138549984946
Bergen St,Hoyt-Schermerhorn Sts,0.004254253788433558
Bergen St,Jay St-MetroTech,0.004171627939864023
116 St,110 St,0.004136504966811426
Myrtle-Willoughby Avs,Bedford-Nostrand Avs,0.004115520446782913
57 St-7 Av,Times Sq-42 St-42 St,0.0041010469871297275
Canal St,Chambers St-WTC-Park Pl,0.0040975035910189835
Fulton St,Brooklyn Bridge-City Hall-Chambers St,0.004060889958765261
Franklin Av-Medgar Evers College,Franklin Av-Botanic Garden,0.0040409450297984265
Allerton Av,Pelham Pkwy,0.003998747927150386
18 Av,Avenue I,0.003989217402252467
18 Av,20 Av,0.003989217402252467
Bay Pkwy,25 Av,0.00397863153415045
Hunters Point Av,Court Sq-23 St-Court Sq,0.003961760451416514
Metropolitan Av,Lorimer St,0.003931832846290971
Canal St,Chambers St-WTC-Park Pl-Cortlandt,0.003912591235534353
Delancey St-Essex St,Bowery,0.003909132146473351
Court Sq,Court Sq-23 St,0.003899982609838762
Bowling Green,Court St-Borough Hall,0.0038917080688669007
Clark St,Court St-Borough Hall,0.0038917080688668972
65 St,74-Broadway-Jackson Hts-Roosevelt Av,0.00388347548710841
Pennsylvania Av,Van Siclen Av,0.0038724656592424573
50 St,Times Sq-42 St,0.003861252937074902
47-50 Sts-Rockefeller Ctr,57 St,0.00383558562323077
Hoyt St,Nevins St,0.0038125103142092184
18 St,14 St-8 Av,0.0037930578789133395
47-50 Sts-Rockefeller Ctr,42 St-Bryant Pk,0.003760395267992945
79 St,72 St,0.003717144387036103
Rector St,Chambers St-WTC,0.003676579147314277
72 St,Times Sq-42 St-42 St,0.003664993782197359
Canal St,W 4 St-Wash Sq,0.003662792704665659
96 St,Central Park North,0.003651809753325543
18 Av,New Utrecht Av-62 St,0.003621598967793576
23 St,14 St-8 Av,0.0036013912445410456
Chauncey St,Halsey St,0.003592270863410928
Prospect Park,Parkside Av,0.003589492466533656
Jefferson St,Morgan Av,0.003520000426282712
West Farms Sq-E Tremont Av,174 St,0.003481054257766715
Bedford Av,Lorimer St-Metropolitan Av,0.0034268307315785266
Saratoga Av,Rockaway Av,0.003423361893108107
86 St,81 St-Museum of Natural History,0.003415593247151055
Hunters Point Av,Vernon Blvd-Jackson Av,0.0034003052807801124
14 St-Union Sq,Brooklyn Bridge-City Hall-Chambers St,0.003397857130439586
34 St-Hudson Yards,Times Sq-42 St-42 St,0.0033932125058365003
President St-Medgar Evers College,Sterling St,0.003377938219732603
Times Sq-42 St,Grand Central-42 St,0.003374765691776875
66 St-Lincoln Center,59 St-Columbus Circle,0.00336219833797489
Van Siclen Av,Cleveland St,0.0033538571686455017
Sterling St,Winthrop St,0.0033258962256396
Gun Hill Rd,Pelham Pkwy,0.003322533010279378
34 St-Penn Station,42 St-Port Authority Bus Terminal,0.0032905044047900475
Fort Hamilton Pkwy,8 Av,0.0032849283324012826
Canal St,Chambers St-WTC,0.003256007284385203
50 St,Times Sq-42 St-42 St,0.0032353594139957424
Franklin Av-Medgar Evers College,Botanic Garden,0.003231045665694325
Fulton St,Chambers St-WTC-Park Pl-Cortlandt,0.0032279767448521097
Delancey St-Essex St,East Broadway,0.003226702887609896
