Node_1,Node_2,Edge_Betweenness_Centrality
Canal St,City Hall,0.0032151904807434665
Newkirk Plaza,Cortelyou Rd,0.0032140742373930648
Junction Blvd,90 St-Elmhurst Av,0.0031680492491090173
34 St-Penn Station,14 St,0.0031640210153937704
Grand Central-42 St,5 Av,0.0031629344706660405
79 St,71 St,0.00315677774642053
Junius St,Livonia Av,0.0031428828268397035
Fulton St,Chambers St-WTC-Park Pl,0.00314149817218696
163 St-Amsterdam Av,155 St,0.0031296018285452134
Pelham Pkwy,Morris Park,0.003121819042020865
Pelham Pkwy,Bronx Park East,0.0031218190420208626
South Ferry-Whitehall St,Court St,0.0031040650544904426
Canal St,Chambers St,0.003101165463449628
63 Dr-Rego Park,Woodhaven Blvd,0.0030927548308409144
Briarwood,Sutphin Blvd,0.0030487814591268303
Jackson Hts-Roosevelt Av,65 St,0.0030465528555161645
34 St-Penn Station,14 St-6 Av,0.002984579923554705
Avenue H,Avenue J,0.0029710609182249962
Chambers St,Fulton St,0.0029663873275441767
14 St,8 Av,0.0029513469480407146
Canal St,Brooklyn Bridge-City Hall-Chambers St,0.002935017658462967
Fulton St,Chambers St-WTC,0.002932980645877336
57 St-7 Av,Lexington Av-63 St,0.002916484970129572
46 St-Bliss St,40 St-Lowery St,0.0029149300673841946
Times Sq-42 St,34 St-Herald Sq,0.002905840998283182
Avenue X,Neptune Av,0.0028998706446539124
168 St,163 St-Amsterdam Av,0.0028906566282374518
Lexington Av-53 St,Court Sq-23 St-Court Sq,0.0028574682905308617
Junction Blvd,61 St-Woodside,0.00284690665218825
49 St,Times Sq-42 St-42 St,0.0028447033450510672
57 St,Lexington Av-63 St,0.0027929337163703923
St Lawrence Av,Morrison Av-Soundview,0.002788490487591576
Brooklyn Bridge-City Hall-Chambers St,WTC Cortlandt,0.0027532877770169517
14 St-Union Sq,Brooklyn Bridge-City Hall,0.0027492504212835323
Morrison Av-Soundview,Elder Av,0.0027024702154807814
71 St,New Utrecht Av-62 St,0.0026870882215639614
Hewes St,Marcy Av,0.002634398324424272
57 St-7 Av,5 Av-59 St,0.00263431422890825
Sheepshead Bay,Neck Rd,0.002632351174991468
Canal St,World Trade Center,0.0026001207413337423
Junius St,Pennsylvania Av,0.002599474876725839
Fulton St,High St,0.002535929782082255
Neptune Av,W 8 St-NY Aquarium,0.00251462759431996
Hewes St,Lorimer St-Metropolitan Av,0.002512312763420271
Cypress Hills,Crescent St,0.0024916832838459703
2 Av,Broadway-Lafayette St-Bleecker St,0.0024804755787137646
Park Pl,Franklin Av-Botanic Garden,0.00246885084499683
47-50 Sts-Rockefeller Ctr,Bryant Pk-5 Av,0.002458919445012751
Cathedral Pkwy,116 St,0.002453183479061508
116 St-Columbia University,Cathedral Pkwy,0.0024507940270584306
90 St-Elmhurst Av,82 St-Jackson Hts,0.0024184895340864415
Lorimer St,Bedford Av,0.0024125737518005865
Avenue J,Avenue M,0.0024052060886996353
Beverley Rd,Cortelyou Rd,0.0024014234628059305
6 Av,14 St-8 Av,0.0023991198854506146
Spring St,W 4 St-Wash Sq,0.0023515394713930437
Times Sq-42 St,34 St-Penn Station,0.0023440759959882066
Parsons Blvd,Sutphin Blvd,0.002341822259816267
Chambers St,WTC Cortlandt,0.00230908487983145
Canal St,Brooklyn Bridge-City Hall,0.0023078377924635267
Canal St,Franklin St,0.0022731696594068987
Broadway-Lafayette St,2 Av,0.0022696692324798828
8 Av,14 St-6 Av,0.0022662496331755603
51 St,Lexington Av-53 St,0.0022594385596717
Bleecker St,Spring St,0.002239640976882865
Carroll St,Smith-9 Sts,0.002228285564757215
Times Sq-42 St,57 St-7 Av,0.0022251788997174507
City Hall,Chambers St-WTC-Park Pl-Cortlandt,0.0022193649930169856
