,Removed_Node,New_Global_Efficiency,Efficiency_Decrease_Percent
13,125 St,0.14988087263211278,11.589574527139812
136,3 Av-138 St,0.15862241522554596,6.433189416735995
47,E 180 St,0.16158683440464824,4.684563616113409
130,Hunts Point Av,0.162362495527276,4.227023379857918
181,Rockaway Blvd,0.16323135257581547,3.7145095414509584
11,145 St,0.1638612542820544,3.3429486019082875
18,86 St,0.16413440630161819,3.1818240645052946
75,Church Av,0.16416837099202575,3.1617892683551743
182,Aqueduct-N Conduit Av,0.16446665470609967,2.985840265591962
8,181 St,0.1644761959014113,2.980212188291589
67,Atlantic Av-Barclays Ctr,0.16457041022608856,2.9246378619344133
103,59 St,0.16457441774573092,2.9222739411054937
298,Myrtle-Wyckoff Avs,0.16468752527351133,2.855555056436375
231,36 St,0.16475872212645173,2.8135580760995955
183,Howard Beach-JFK Airport,0.1649848883544897,2.680149108715819
42,Gun Hill Rd,0.16508857115631442,2.6189895994164516
208,7 Av,0.165156912837581,2.578676802912133
184,Broad Channel,0.16536526283667444,2.455777117691227
94,Fordham Rd,0.1653868113974986,2.4430662400633034
174,Broadway Junction,0.16552439424062262,2.361910069267474
125,Parkchester,0.1656826342313054,2.2685688399471493
207,DeKalb Av,0.16593291819577913,2.1209335119725727
55,3 Av-149 St,0.16594559781209467,2.1134541701886405
22,59 St-Columbus Circle,0.1659844546699085,2.090533624881363
6,Dyckman St,0.1661262039583182,2.0069197875804683
93,Kingsbridge Rd,0.1661617788836704,1.985935160047156
32,Canal St,0.16646980255283747,1.8042408372924739
124,Castle Hill Av,0.16651966555102324,1.7748280856348508
268,Broadway,0.16665825354329275,1.6930790062039385
310,Seneca Av,0.1667017288026445,1.6674341983686818
56,149 St-Grand Concourse,0.16691233620640328,1.5432029349188678
356,14 St-8 Av,0.16692890192708354,1.533431291693909
220,Forest Hills-71 Av,0.16696711718362137,1.5108892085666195
41,219 St,0.16701102804532,1.4849874514078834
206,Grand St,0.16702724178892067,1.4754234293611115
