,Removed_Node,New_Global_Efficiency,Efficiency_Decrease_Percent
61,Fulton St,0.16703232989279293,1.472422102905663
76,Beverly Rd,0.16705890419079955,1.4567466871428076
105,14 St-Union Sq,0.1670719761435563,1.4490359173515146
5,207 St,0.16712003885588433,1.4206851026566198
166,Jay St-MetroTech,0.16712909511524565,1.4153430751566072
123,Zerega Av,0.16713709376630848,1.4106249004405513
200,Tremont Av,0.16716997979366616,1.3912263766680004
79,Nostrand Av,0.167205160172874,1.3704744805825178
71,Franklin Av-Medgar Evers College,0.16721275304633726,1.3659956624274157
185,Beach 67 St,0.1673129752282656,1.3068774734917792
104,Grand Central-42 St,0.16738719220769918,1.2630990072085018
53,Prospect Av,0.16738927543527457,1.261870171046405
364,74-Broadway-Jackson Hts-Roosevelt Av,0.16742605480869238,1.2401750741645285
35,Rector St,0.16742924503217535,1.2382932528852046
311,Forest Av,0.16755252542541915,1.1655736868209035
250,Fort Hamilton Pkwy,0.16755395285829092,1.164731685134428
257,Avenue U,0.16755468809473203,1.164297990257684
232,Queens Plaza,0.16756269471349,1.1595751156269214
4,215 St,0.16758548101737147,1.1461341288903442
236,Parsons Blvd,0.1676046562270704,1.1348232229805866
40,225 St,0.16760585152324556,1.1341181520695678
316,30 Av,0.16764105345588648,1.1133535422324616
148,Queensboro Plaza,0.1676510931956715,1.1074313878544988
218,Kew Gardens-Union Tpke,0.1676669558659801,1.0980744538675944
192,104 St,0.16767459045186386,1.0935710307526951
122,Westchester Sq-E Tremont Av,0.16768922124592384,1.084940745212372
139,111 St,0.16769182392791743,1.0834054977963212
211,Kings Hwy,0.16770405996728038,1.0761878093269128
324,South Ferry-Whitehall St,0.1677052405709448,1.0754914051063305
186,Beach 60 St,0.16773412199080653,1.0584550843711027
282,Halsey St,0.1677389551217992,1.0556041591000915
88,New Lots Av,0.1677405204709339,1.0546808045680405
223,Woodhaven Blvd,0.16774756570403898,1.0505250237439994
172,Utica Av,0.16776835526320932,1.0382618594097843
209,Prospect Park,0.16776887646332223,1.0379544184206246
141,Junction Blvd,0.1678116609149929,1.0127170982115887
210,Newkirk Plaza,0.16784866416692917,0.9908899418165473
261,Coney Island-Stillwell Av,0.1678916175931971,0.9655529483418344
370,Lexington Av-59 St,0.16789211103741702,0.9652618797573984
302,Graham Av,0.16790251212002497,0.9591265796180434
92,Bedford Park Blvd-Lehman College,0.16790738955592946,0.9562495201510139
197,Beach 90 St,0.16792274239313318,0.947193322081444
20,72 St,0.16793380678038466,0.9406667575684298
68,Bergen St,0.16796027956192644,0.9250512234548595
332,9 Av,0.1679643963922851,0.922622823371395
169,Clinton-Washington Avs,0.1679654693268535,0.9219899300606632
164,W 4 St-Wash Sq,0.16796856588871417,0.9201633570844205
138,Mets-Willets Point,0.1679718979145704,0.9181978906545658
23,50 St,0.16797319441347972,0.9174331231549867
177,Euclid Av,0.16800212353813648,0.9003686627302061
367,Franklin Av-Botanic Garden,0.1680038198171282,0.8993680764329391
77,Newkirk Av-Little Haiti,0.16801328951824113,0.8937821715086336
3,Marble Hill-225 St,0.168014492331728,0.8930726663511648
355,Lexington Av-53 St-51 St,0.16804428621721873,0.8754981083273992
369,Lexington Av-63 St,0.1680468064192248,0.8740115134889777
327,25 St,0.16805941336225644,0.8665750395896284
202,47-50 Sts-Rockefeller Ctr,0.16806084975954594,0.8657277500503923
230,Steinway St,0.16806234586795316,0.8648452386364089
248,4 Av-9 St,0.16806509522006544,0.8632234747264935
363,Court Sq-23 St-Court Sq,0.16808095285863733,0.8538695088166638
215,Sutphin Blvd-Archer Av-JFK Airport,0.1680830316570498,0.8526432852906684
372,Times Sq-42 St-42 St,0.1680834068269846,0.8524219833127776
362,Chambers St-WTC-Park Pl-Cortlandt,0.16808915316714823,0.8490323821591705
19,79 St,0.16810035678185253,0.8424236913672998
167,Hoyt-Schermerhorn Sts,0.16811375809463844,0.834518641546801
187,Beach 44 St,0.1681252884065358,0.8277172414563322
66,Nevins St,0.16813019500902202,0.8248229774597632
39,233 St,0.1681392405629893,0.8194872647644725
361,Chambers St-WTC-Park Pl,0.16814882688633898,0.8138325677295382
359,Brooklyn Bridge-City Hall-Chambers St,0.16815866851785088,0.8080272717365621
17,96 St,0.1681700961389535,0.8012864459988756
254,Bay Pkwy,0.16817712530918677,0.7971401402019419
352,5 Av-53 St,0.1681795444933279,0.7957131329030266
144,61 St-Woodside,0.16818788050549033,0.7907959585559248
243,Delancey St-Essex St,0.16818961425452805,0.7897732697538344
121,Middletown Rd,0.16819313177243628,0.7876983868857724
204,34 St-Herald Sq,0.16819884705779795,0.7843271040686238
81,Crown Hts-Utica Av,0.16819885635324605,0.7843216209505477
307,8 Av,0.1682049982043921,0.7806987192188054
360,Chambers St-WTC,0.16821888270832822,0.772508648805459
357,14 St-6 Av,0.168224258975335,0.7693373431866846
25,34 St-Penn Station,0.168225586163547,0.768554472948177
34,Chambers St,0.1682320246943433,0.7647565684048797
225,Elmhurst Av,0.16823692083074485,0.7618684780513146
24,Times Sq-42 St,0.16823906329348084,0.7606047007679094
285,Myrtle Av,0.16824159995598917,0.7591083963515854
101,161 St-Yankee Stadium,0.16824994913957078,0.7541834525623052
29,14 St,0.16825197661856925,0.7529875008858578
269,Flushing Av,0.16825332696633774,0.7521909694896086
305,3 Av,0.168262550200804,0.7467504481670579
239,21 St-Queensbridge,0.16826431514864265,0.7457093560876437
366,Court St-Borough Hall,0.16827256393969794,0.7408436309685671
368,New Utrecht Av-62 St,0.1682787391160775,0.7372010716379596
252,18 Av,0.16828004196940732,0.7364325558480769
312,Fresh Pond Rd,0.16828415410976622,0.7340069222608872
52,Intervale Av,0.16828586344089852,0.7329986368804571
111,51 St,0.1683172052154246,0.7145110235361856
277,Crescent St,0.16831968570531564,0.7130478537347489
27,23 St,0.16832351743217902,0.7107876280212307
106,Brooklyn Bridge-City Hall,0.16832381710243918,0.7106108611347213
226,Jackson Hts-Roosevelt Av,0.16833265785307908,0.7053959560447907
263,Botanic Garden,0.16833614285586512,0.7033402529141801
117,Baychester Av,0.168336357645933,0.7032135544172051
365,Lorimer St-Metropolitan Av,0.1683388442332031,0.7017467879468358
315,Astoria Blvd,0.16833962181825904,0.7012881128375398
87,Van Siclen Av,0.1683510860957767,0.6945256645325885
358,Broadway-Lafayette St-Bleecker St,0.1683523710538766,0.6937677046252868
264,21 St,0.16835607650875958,0.6915819631292435
196,Beach 98 St,0.16835668979140425,0.6912202052971863
233,Court Sq-23 St,0.1683577640803448,0.6905865130811791
373,Bryant Pk-5 Av,0.16835802386820709,0.6904332716766336
58,116 St,0.16836647023889065,0.6854510000049963
234,World Trade Center,0.1683721864379872,0.6820791782018564
163,42 St-Port Authority Bus Terminal,0.16837615474037546,0.6797383905056773
115,Spring St,0.16837944582073971,0.6777970766464785
30,Christopher St-Sheridan Sq,0.1683810861579392,0.6768294888070239
198,Bedford Park Blvd,0.16838144739653277,0.6766164045275324
306,6 Av,0.16838588212945915,0.6740004828425654
289,Bowery,0.1683861533538624,0.6738404953507118
33,Franklin St,0.1683865231500058,0.6736223632181576
249,15 St-Prospect Park,0.1683872041456988,0.6732206634021218
319,57 St-7 Av,0.16839095430280665,0.6710085533464977
135,Brook Av,0.16839176955284105,0.6705276607473152
205,Broadway-Lafayette St,0.1683926617659851,0.6700013698184354
326,Union St,0.16839556537625575,0.6682886134478172
54,Jackson Av,0.16839873704097633,0.6664177394498251
178,Grant Av,0.16839908525496564,0.6662123380106032
245,York St,0.1684016510532197,0.6646988472540114
318,39 Av-Dutch Kills,0.16840389300887057,0.6633763819553744
170,Franklin Av,0.1684044640700036,0.6630395293813621
323,City Hall,0.1684104176700358,0.659527671579227
292,East 105 St,0.16841587430117932,0.6563089614624891
2,231 St,0.16841643872167647,0.6559760260090058
60,Park Place,0.16841662972804705,0.6558633568325155
351,Lexington Av-53 St,0.16841761980738654,0.655279337443526
329,53 St,0.16841891053318292,0.6545179753375884
152,5 Av,0.16842074698328757,0.65343470612344
28,18 St,0.16842286174379298,0.6521872695908607
347,Bay Ridge Av,0.16842380890978928,0.6516285635514854
110,68 St-Hunter College,0.16842380890979014,0.6516285635509779
328,45 St,0.16842404200668004,0.6514910663850576
354,Cortlandt,0.16843082989995012,0.647487082944523
31,Houston St,0.1684314334693208,0.6471310546940405
159,168 St,0.16843277039108434,0.6463424429128091
251,Ditmas Av,0.16843914069119797,0.6425847856911395
84,Rockaway Av,0.1684393536618951,0.6424591603887501
21,66 St-Lincoln Center,0.16843973743754048,0.642232782149167
74,Winthrop St,0.16844109637371768,0.6414311846970929
272,Classon Av,0.1684433587800365,0.6400966561363347
333,62 St,0.16844580680726526,0.6386526351277614
343,55 St,0.16844802087115032,0.6373466223813378
165,High St,0.16845068179211417,0.6357770214680784
241,57 St,0.1684507585148817,0.6357317649093095
162,81 St-Museum of Natural History,0.16845135353208018,0.6353807813397726
113,Astor Pl,0.16845612395615528,0.6325668450798712
203,42 St-Bryant Pk,0.16845619000413561,0.6325278852717215
72,President St-Medgar Evers College,0.16845759511536168,0.6316990504834554
288,Marcy Av,0.168461569553356,0.6293546435693306
151,Vernon Blvd-Jackson Av,0.1684617933790012,0.6292226152446017
334,Parkside Av,0.1684629367845837,0.628548153105014
57,135 St,0.16846714010755762,0.6260687335099933
109,77 St,0.16846775541332992,0.6257057822930026
240,Roosevelt Island,0.16846794703934004,0.6255927476089335
325,Court St,0.16847013875842398,0.6242999154194381
299,Jefferson St,0.16847060973889982,0.6240220975529729
330,New Utrecht Av,0.16847777259209656,0.6197969360123283
224,Grand Av-Newtown,0.1684784777498413,0.6193809836953871
322,Prince St,0.16847989952078202,0.6185423218195427
348,Bay Ridge-95 St,0.16848687102935356,0.6144300289820808
260,W 8 St-NY Aquarium,0.16848702158655468,0.6143412196098406
12,137 St-City College,0.1684926389739332,0.6110276840034603
91,Mosholu Pkwy,0.16849287845034852,0.6108864237385822
188,Beach 36 St,0.1684942769251072,0.610061503611967
26,28 St,0.1684943906618615,0.609994413564636
371,WTC Cortlandt,0.16849487859197548,0.6097065975930556
280,Alabama Av,0.16849590084957675,0.6091035971708978
320,49 St,0.16849612731127944,0.6089700139114929
102,138 St-Grand Concourse,0.16849996750199983,0.6067047956116244
112,33 St,0.16850187812866863,0.6055777717710141
62,Wall St,0.1685057466599332,0.6032958361974476
344,71 St,0.16850974098132826,0.6009397006358467
14,116 St-Columbia University,0.16851351910836007,0.5987110919247615
309,Knickerbocker Av,0.16852088310860364,0.5943672795137286
153,34 St-Hudson Yards,0.1685265633440677,0.5910166716253067
229,46 St,0.1685268601012586,0.5908416230747531
353,5 Av-59 St,0.16852770511553272,0.5903431734047409
321,8 St-NYU,0.1685303107516783,0.5888061834192162
100,167 St,0.168532932750862,0.5872595413470764
286,Lorimer St,0.1685341820257268,0.5865226299561299
70,Eastern Pkwy-Brooklyn Museum,0.1685347039442975,0.5862147651693197
301,Montrose Av,0.16853526084802445,0.5858862636428643
147,33 St-Rawson St,0.16853628634805895,0.5852813506023907
150,Hunters Point Av,0.16853795578170802,0.5842965996023394
64,Borough Hall,0.1685380764706889,0.5842254086360525
317,36 Av,0.16854093525944078,0.5825390911930678
335,Beverley Rd,0.16854186214271613,0.581992349348704
246,Carroll St,0.16854273761282487,0.5814759346558663
262,Park Pl,0.16854387437145443,0.5808053933630751
149,Court Sq,0.16854889490610905,0.5778439240500045
69,Grand Army Plaza,0.16855849542416956,0.5721808539625164
82,Sutter Av-Rutland Rd,0.16856278628307952,0.5696497994309297
179,80 St,0.1685664175674741,0.5675078089774536
227,65 St,0.16856901345916872,0.5659765669638916
65,Hoyt St,0.16856971964221484,0.5655600098510791
304,1 Av,0.16857089426452349,0.5648671338606128
168,Lafayette Av,0.16857142702871808,0.5645528715515297
350,74-Broadway,0.1685722515864746,0.5640664885941817
114,Bleecker St,0.16857309817457505,0.5635671105691732
161,155 St,0.1685766791233302,0.5614548116648633
247,Smith-9 Sts,0.16857694654684252,0.5612970662094777
212,Sheepshead Bay,0.1685797953570375,0.5596166348308413
266,Nassau Av,0.16858314770540075,0.5576391807373017
244,East Broadway,0.1685850312713381,0.5565281192455893
171,Kingston-Throop Avs,0.16858605723622103,0.5559229320043627
346,Bay 50 St,0.16858851975963238,0.5544703601136934
59,Central Park North,0.16859174314681366,0.5525689765204677
275,75 St-Elderts Ln,0.16859395735518015,0.5512628785485968
180,88 St,0.16859562572524125,0.5502787549285645
265,Greenpoint Av,0.16859572619604007,0.5502194900876597
295,Atlantic Av,0.16859711219477377,0.5494019292101486
63,Clark St,0.1685978981083364,0.5489383413537685
107,Bowling Green,0.16859789810833642,0.5489383413537522
242,2 Av,0.168600645142667,0.547317944636739
303,Bedford Av,0.16860266967944806,0.5461237284899081
73,Sterling St,0.1686072112819769,0.5434447674934108
16,103 St,0.16860725751731911,0.5434174945918998
258,Avenue X,0.16860997694126534,0.5418133844482602
279,Cleveland St,0.16861021353333377,0.5416738255768269
80,Kingston Av,0.16861160596651076,0.540852469205879
290,Broad St,0.16861415951081465,0.5393462067028219
337,Avenue H,0.16861763522393824,0.5372959832774984
155,69 St,0.16861999598842198,0.5359034360579452
221,67 Av,0.16862084315105597,0.5354037191320943
340,Neck Rd,0.1686234887234255,0.5338431719141443
283,Gates Av,0.16862424938741172,0.5333944780582695
143,82 St-Jackson Hts,0.1686242970020274,0.533366391562919
51,Simpson St,0.16862479552232865,0.533072328743795
281,Chauncey St,0.16862611259105645,0.5322954276986044
10,157 St,0.1686291389731394,0.5305102517592254
38,Nereid Av,0.16863001954159754,0.5299908296963839
253,Avenue I,0.1686324134221394,0.528578748264514
331,20 Av,0.16863241342213978,0.5285787482642849
339,Avenue M,0.16863627707310075,0.5262996914417599
129,Whitlock Av,0.1686412781929016,0.5233496743937653
345,25 Av,0.16864535008078782,0.5209477845850297
284,Kosciuszko St,0.16864800736732796,0.5193803275140136
89,Harlem-148 St,0.16865087677999818,0.5176877433264766
271,Bedford-Nostrand Avs,0.16865582034585053,0.5147716757010121
145,46 St-Bliss St,0.16865818997406715,0.5133739000198012
287,Hewes St,0.16865865112637718,0.5131018795062973
270,Myrtle-Willoughby Avs,0.16865892367770738,0.5129411092983117
15,Cathedral Pkwy,0.16865901317040866,0.5128883201220967
120,Buhre Av,0.16866175581043852,0.5112705154769756
216,Jamaica-Van Wyck,0.16866244104566802,0.5108663148800253
36,South Ferry,0.16866504759771597,0.5093287846299701
300,Morgan Av,0.16866574633140824,0.5089166216772152
336,Cortelyou Rd,0.1686691641582079,0.5069005437331512
108,110 St,0.16867215515642547,0.5051362397205024
131,Longwood Av,0.168677099475841,0.5022197275897413
256,Avenue P,0.16867903036096857,0.5010807538656804
140,103 St-Corona Plaza,0.1686815317051626,0.4996052827093948
83,Saratoga Av,0.1686820093354856,0.49932354228892023
228,Northern Blvd,0.16868645869932694,0.4966989902471024
173,Ralph Av,0.16868749590626325,0.49608717164121724
308,Central Av,0.16868788893065623,0.49585533783084557
175,Liberty Av,0.16869528892557384,0.49149029319457027
297,Wilson Av,0.16869773641484892,0.4900465895094354
267,Metropolitan Av,0.16870069151730147,0.4883034593784366
255,Avenue N,0.16870132915469352,0.4879273353798312
48,West Farms Sq-E Tremont Av,0.1687033756495139,0.4867201668157522
222,63 Dr-Rego Park,0.16870506428062199,0.4857240917855601
146,40 St-Lowery St,0.16871007558381357,0.4827680678476106
134,Cypress Av,0.16871275247883552,0.4811890442959003
201,174-175 Sts,0.16871639112989584,0.47904270845770763
296,Bushwick Av-Aberdeen St,0.16872397372795483,0.4745699514686881
9,168 St-Washington Hts,0.16872406261951722,0.4745175168870519
219,75 Av,0.16872637395334275,0.47315412739420926
349,South Ferry Loop,0.16872666377843826,0.472983167887793
96,Burnside Av,0.16872907515851454,0.4715607639827643
99,170 St,0.16873106004864558,0.47038993425699666
142,90 St-Elmhurst Av,0.16873366659586658,0.4688524068542176
154,52 St,0.168741597658908,0.4641741003723406
341,Ocean Pkwy,0.1687418199160243,0.46404299727779025
160,163 St-Amsterdam Av,0.16874358113231958,0.4630041063287276
199,182-183 Sts,0.16874475966606398,0.4623089230945579
158,175 St,0.168745800426377,0.4616950084537301
259,Neptune Av,0.16874874932683306,0.45995553670246475
338,Avenue J,0.16874925020677553,0.4596600819986949
85,Junius St,0.16875916827523477,0.4538096980440839
195,Beach 105 St,0.16876364365786672,0.4511697982643674
176,Shepherd Av,0.1687650818108827,0.45032147307246606
213,Brighton Beach,0.16877054119486293,0.44710113913635496
217,Briarwood,0.16877998016534757,0.44153336132776905
95,183 St,0.16879379794954663,0.4333826469725748
50,Freeman St,0.16879861396676543,0.43054181662563734
1,238 St,0.16879908026950477,0.4302667580216937
274,85 St-Forest Pkwy,0.16880362972688326,0.42758316367480126
273,121 St,0.16880506117015812,0.4267387963666322
278,Norwood Av,0.1688096016093324,0.42406052159959884
46,Bronx Park East,0.1688126015236299,0.4222909582472737
118,Morris Park,0.16881260152362998,0.4222909582472246
137,Flushing-Main St,0.1688140923776011,0.4214115462743095
294,Sutter Av,0.16881525284337134,0.4207270208195717
78,Flatbush Av-Brooklyn College,0.1688245000418855,0.4152723637928793
49,174 St,0.16882538967376734,0.4147475954765129
293,Livonia Av,0.16882670046790918,0.41397439562951266
86,Pennsylvania Av,0.1688336423967657,0.4098795510170546
276,Cypress Hills,0.16883744872362083,0.40763430803947964
191,Ozone Park-Lefferts Blvd,0.16884124430048833,0.40539540617109915
126,St Lawrence Av,0.1688434781219138,0.40407773901859156
189,Beach 25 St,0.16884789634461542,0.40147155624140524
132,E 149 St,0.16884806411128858,0.4013725954954862
128,Elder Av,0.16885737676773183,0.395879326714948
45,Pelham Pkwy,0.16885793596577678,0.395549471836139
133,E 143 St-St Mary's St,0.16885881043893367,0.39503364521658957
43,Burke Av,0.16888421993781078,0.3800453110327374
237,Sutphin Blvd,0.1688845623679208,0.37984332133792376
98,Mt Eden Av,0.16889665062411144,0.37271280592076894
157,190 St,0.16889827048637804,0.3717572956566338
7,191 St,0.1688982704863787,0.3717572956562409
97,176 St,0.16889883190415972,0.3714261314188313
235,Jamaica-179 St,0.16890171981490007,0.3697226357505829
238,169 St,0.16890171981490007,0.3697226357505829
214,Jamaica Center-Parsons-Archer,0.16891202763434315,0.36364234887570374
193,Aqueduct Racetrack,0.16891758913194482,0.3603617810447654
127,Morrison Av-Soundview,0.16892235890980065,0.3575482259710675
313,Middle Village-Metropolitan Av,0.16894025917287803,0.34698937448484873
44,Allerton Av,0.168949579904284,0.3414913425155342
314,Astoria-Ditmars Blvd,0.16896591416358642,0.33185623171486806
116,Eastchester-Dyre Av,0.16896630606830548,0.3316250583680029
342,Norwood-205 St,0.1689848571809774,0.3206822893841058
291,Canarsie-Rockaway Pkwy,0.16900158000865398,0.3108179732506813
156,Inwood-207 St,0.1690175267825403,0.30141142897687834
90,Woodlawn,0.1690336589991715,0.291895497349736
37,Wakefield-241 St,0.16909553374884312,0.2553973582047777
119,Pelham Bay Park,0.16910978647509797,0.24699008401287467
194,Rockaway Park-Beach 116 St,0.16915752230146988,0.21883208996250655
0,Van Cortlandt Park-242 St,0.16917352993946624,0.20938964369688007
190,Far Rockaway-Mott Av,0.1691965748050959,0.19579613880527708
