,Removed_Node,Nodes_Made_Unreachable
15,Great Kills,8
11,Eltingville,7
3,Annadale,6
7,Huguenot,5
10,Prince's Bay,4
6,Pleasant Plains,3
18,Richmond Valley,2
1,Arthur Kill,1
0,Bay Terrace,0
4,Tottenville,0
2,Jefferson Av,0
8,St George,0
5,New Dorp,0
12,Tompkinsville,0
9,Oakwood Heights,0
14,Grasmere,0
13,Old Town,0
16,Dongan Hills,0
17,Stapleton,0
19,Grant City,0
20,Clifton,0
