,Average Travel Time By Bike,Average Travel Time By Metro
Roosevelt Island Coast,27:41,46:00
Steinway St / 31 Av,24:35,37:29
North Brooklyn (Gates / Throop Av),45:03,66:03
Brooklyn Navy Yard (Flushing / Navy St),56:00,63:01
South Bronx (161 St / Melrose Av),55:56,60:12
South Manhattan (Houston / Clinton St),51:14,52:33
South Manhattan (Ave A / St. Marks Pl),50:20,50:54
