,Average Travel Time By Bike,Average Travel Time By Metro
Roosevelt Island Coast,19:00,40:39
Steinway St / 31 Av,26:22,45:53
North Brooklyn (Gates / Throop Av),71:56,79:34
Brooklyn Navy Yard (Flushing / Navy St),80:46,86:07
South Bronx (161 St / Melrose Av),49:49,76:32
South Manhattan (Houston / Clinton St),63:16,73:00
South Manhattan (Ave A / St. Marks Pl),52:32,58:50
