,Average Travel Time By Bike,Average Travel Time By Metro
Roosevelt Island Coast,53:59,79:08
Steinway St / 31 Av,55:23,80:50
North Brooklyn (Gates / Throop Av),95:14,97:49
Brooklyn Navy Yard (Flushing / Navy St),92:24,87:37
South Bronx (161 St / Melrose Av),29:44,49:03
South Manhattan (Houston / Clinton St),81:15,96:05
South Manhattan (Ave A / St. Marks Pl),71:44,78:41
