,Average Travel Time By Bike,Average Travel Time By Metro
Roosevelt Island Coast,47:30,51:26
Steinway St / 31 Av,44:56,42:44
North Brooklyn (Gates / Throop Av),32:44,42:07
Brooklyn Navy Yard (Flushing / Navy St),24:35,29:03
South Bronx (161 St / Melrose Av),62:06,46:39
South Manhattan (Houston / Clinton St),13:41,28:00
South Manhattan (Ave A / St. Marks Pl),14:13,24:60
