,Average Travel Time By Bike,Average Travel Time By Metro
Roosevelt Island Coast,33:21,48:34
Steinway St / 31 Av,32:28,45:12
North Brooklyn (Gates / Throop Av),17:35,35:31
Brooklyn Navy Yard (Flushing / Navy St),33:51,46:30
South Bronx (161 St / Melrose Av),66:26,56:26
South Manhattan (Houston / Clinton St),21:18,33:12
South Manhattan (Ave A / St. Marks Pl),24:41,29:29
