,Average Travel Time By Bike,Average Travel Time By Metro
Roosevelt Island Coast,31:40,40:24
Steinway St / 31 Av,37:52,41:14
North Brooklyn (Gates / Throop Av),59:18,54:56
Brooklyn Navy Yard (Flushing / Navy St),46:39,41:00
South Bronx (161 St / Melrose Av),44:43,39:48
South Manhattan (Houston / Clinton St),32:52,38:40
South Manhattan (Ave A / St. Marks Pl),33:36,41:20
