,Average Travel Time By Bike,Average Travel Time By Metro
Roosevelt Island Coast,67:38,79:49
Steinway St / 31 Av,66:16,69:28
North Brooklyn (Gates / Throop Av),34:46,55:08
Brooklyn Navy Yard (Flushing / Navy St),27:18,42:56
South Bronx (161 St / Melrose Av),90:52,87:45
South Manhattan (Houston / Clinton St),37:06,50:29
South Manhattan (Ave A / St. Marks Pl),39:30,55:24
